event_idx,ticker,event_wall_ts,period,clock,description,event_type,scorer_side,scorer_label,points,pre_score,post_score,pre_diff_for_scorer,pre_capture_lag_ms,pre_yes_bid,pre_yes_ask,pre_mid,pre_buy_premium_1c,pre_sell_premium_1c,pre_buy_premium_5c,pre_sell_premium_5c,first_plus_1c_ms,horizon_ms,post_capture_lag_ms,post_yes_bid,post_yes_ask,post_mid,mid_move,ask_move,bid_move,post_buy_premium_1c,post_sell_premium_1c,post_buy_premium_5c,post_sell_premium_5c,roundtrip_contracts,roundtrip_entry_cost,roundtrip_exit_proceeds,roundtrip_pnl,roundtrip_avg_entry,roundtrip_avg_exit,roundtrip_worst_entry,roundtrip_worst_exit
0,KXNBAGAME-26JUN05NYKSAS-SAS,2026-06-06 00:43:46+00:00,1,11:36,Devin Vassell makes three point jump shot (Stephon Castle assists),threepointmade,home,SAS,3,0-0,0-3,0,1157.821044921875,0.68,0.69,0.685,279589.9958,11444.9243,462911.0609,96330.1858,6668.22900390625,250,309.117919921875,0.68,0.69,0.685,0.0,0.0,0.0,328680.33439999993,11444.9243,511940.1995,69045.3858,0.0,0.0,0.0,0.0,,,,
0,KXNBAGAME-26JUN05NYKSAS-SAS,2026-06-06 00:43:46+00:00,1,11:36,Devin Vassell makes three point jump shot (Stephon Castle assists),threepointmade,home,SAS,3,0-0,0-3,0,1157.821044921875,0.68,0.69,0.685,279589.9958,11444.9243,462911.0609,96330.1858,6668.22900390625,500,1684.51708984375,0.68,0.69,0.685,0.0,0.0,0.0,348803.37019999995,11432.6843,509558.3353,80449.1458,0.0,0.0,0.0,0.0,,,,
0,KXNBAGAME-26JUN05NYKSAS-SAS,2026-06-06 00:43:46+00:00,1,11:36,Devin Vassell makes three point jump shot (Stephon Castle assists),threepointmade,home,SAS,3,0-0,0-3,0,1157.821044921875,0.68,0.69,0.685,279589.9958,11444.9243,462911.0609,96330.1858,6668.22900390625,1000,1684.51708984375,0.68,0.69,0.685,0.0,0.0,0.0,348803.37019999995,11432.6843,509558.3353,80449.1458,0.0,0.0,0.0,0.0,,,,
0,KXNBAGAME-26JUN05NYKSAS-SAS,2026-06-06 00:43:46+00:00,1,11:36,Devin Vassell makes three point jump shot (Stephon Castle assists),threepointmade,home,SAS,3,0-0,0-3,0,1157.821044921875,0.68,0.69,0.685,279589.9958,11444.9243,462911.0609,96330.1858,6668.22900390625,3000,3041.118896484375,0.68,0.69,0.685,0.0,0.0,0.0,84583.6134,11407.834,237074.0785,80200.29550000001,0.0,0.0,0.0,0.0,,,,
0,KXNBAGAME-26JUN05NYKSAS-SAS,2026-06-06 00:43:46+00:00,1,11:36,Devin Vassell makes three point jump shot (Stephon Castle assists),threepointmade,home,SAS,3,0-0,0-3,0,1157.821044921875,0.68,0.69,0.685,279589.9958,11444.9243,462911.0609,96330.1858,6668.22900390625,10000,10567.4951171875,0.69,0.7,0.695,0.009999999999999898,0.010000000000000009,0.009999999999999898,352585.7528,199379.0995,881349.7978,275956.3894,0.0,0.0,0.0,0.0,,,,
0,KXNBAGAME-26JUN05NYKSAS-SAS,2026-06-06 00:43:46+00:00,1,11:36,Devin Vassell makes three point jump shot (Stephon Castle assists),threepointmade,home,SAS,3,0-0,0-3,0,1157.821044921875,0.68,0.69,0.685,279589.9958,11444.9243,462911.0609,96330.1858,6668.22900390625,60000,60337.806884765625,0.69,0.7,0.695,0.009999999999999898,0.010000000000000009,0.009999999999999898,465510.56499999994,86374.1184,698686.3448999999,283634.3883,0.0,0.0,0.0,0.0,,,,
1,KXNBAGAME-26JUN05NYKSAS-NYK,2026-06-06 00:44:23+00:00,1,11:08,Jalen Brunson makes two point stepback jump shot,twopointmade,away,NYK,2,0-3,2-3,3,684.660888671875,0.31,0.31999999999999995,0.31499999999999995,310370.45219999994,3291.5357,426262.22809999995,27861.464500000002,,250,521.700927734375,0.31,0.31999999999999995,0.31499999999999995,0.0,0.0,0.0,312357.39859999996,3010.6504999999997,432850.17449999996,37073.934700000005,0.0,0.0,0.0,0.0,,,,
1,KXNBAGAME-26JUN05NYKSAS-NYK,2026-06-06 00:44:23+00:00,1,11:08,Jalen Brunson makes two point stepback jump shot,twopointmade,away,NYK,2,0-3,2-3,3,684.660888671875,0.31,0.31999999999999995,0.31499999999999995,310370.45219999994,3291.5357,426262.22809999995,27861.464500000002,,500,521.700927734375,0.31,0.31999999999999995,0.31499999999999995,0.0,0.0,0.0,312357.39859999996,3010.6504999999997,432850.17449999996,37073.934700000005,0.0,0.0,0.0,0.0,,,,
1,KXNBAGAME-26JUN05NYKSAS-NYK,2026-06-06 00:44:23+00:00,1,11:08,Jalen Brunson makes two point stepback jump shot,twopointmade,away,NYK,2,0-3,2-3,3,684.660888671875,0.31,0.31999999999999995,0.31499999999999995,310370.45219999994,3291.5357,426262.22809999995,27861.464500000002,,1000,1644.712890625,0.31,0.31999999999999995,0.31499999999999995,0.0,0.0,0.0,166801.33139999997,3610.6504999999997,254491.60729999997,27301.134500000004,0.0,0.0,0.0,0.0,,,,
1,KXNBAGAME-26JUN05NYKSAS-NYK,2026-06-06 00:44:23+00:00,1,11:08,Jalen Brunson makes two point stepback jump shot,twopointmade,away,NYK,2,0-3,2-3,3,684.660888671875,0.31,0.31999999999999995,0.31499999999999995,310370.45219999994,3291.5357,426262.22809999995,27861.464500000002,,3000,4158.889892578125,0.31,0.31999999999999995,0.31499999999999995,0.0,0.0,0.0,151396.77339999998,24570.9438,253225.92389999997,50840.1386,0.0,0.0,0.0,0.0,,,,
1,KXNBAGAME-26JUN05NYKSAS-NYK,2026-06-06 00:44:23+00:00,1,11:08,Jalen Brunson makes two point stepback jump shot,twopointmade,away,NYK,2,0-3,2-3,3,684.660888671875,0.31,0.31999999999999995,0.31499999999999995,310370.45219999994,3291.5357,426262.22809999995,27861.464500000002,,10000,10709.574951171875,0.31,0.31999999999999995,0.31499999999999995,0.0,0.0,0.0,182326.58979999996,25395.229999999996,273061.9112999999,54821.9483,0.0,0.0,0.0,0.0,,,,
1,KXNBAGAME-26JUN05NYKSAS-NYK,2026-06-06 00:44:23+00:00,1,11:08,Jalen Brunson makes two point stepback jump shot,twopointmade,away,NYK,2,0-3,2-3,3,684.660888671875,0.31,0.31999999999999995,0.31499999999999995,310370.45219999994,3291.5357,426262.22809999995,27861.464500000002,,60000,60025.388916015625,0.3,0.31000000000000005,0.30500000000000005,-0.009999999999999898,-0.009999999999999898,-0.010000000000000009,355659.35490000003,46995.3987,547792.6662,112649.1872,0.0,0.0,0.0,0.0,,,,
2,KXNBAGAME-26JUN05NYKSAS-SAS,2026-06-06 00:45:08+00:00,1,10:55,Julian Champagnie makes regular free throw 1 of 2,freethrowmade,home,SAS,1,2-3,2-4,-1,106.9599609375,0.69,0.7,0.695,634520.3334,75083.06839999999,1008124.8208,257756.7199,,250,1033.450927734375,0.69,0.7,0.695,0.0,0.0,0.0,391100.5744,91610.5283,738981.0393,251608.6798,0.0,0.0,0.0,0.0,,,,
2,KXNBAGAME-26JUN05NYKSAS-SAS,2026-06-06 00:45:08+00:00,1,10:55,Julian Champagnie makes regular free throw 1 of 2,freethrowmade,home,SAS,1,2-3,2-4,-1,106.9599609375,0.69,0.7,0.695,634520.3334,75083.06839999999,1008124.8208,257756.7199,,500,1033.450927734375,0.69,0.7,0.695,0.0,0.0,0.0,391100.5744,91610.5283,738981.0393,251608.6798,0.0,0.0,0.0,0.0,,,,
2,KXNBAGAME-26JUN05NYKSAS-SAS,2026-06-06 00:45:08+00:00,1,10:55,Julian Champagnie makes regular free throw 1 of 2,freethrowmade,home,SAS,1,2-3,2-4,-1,106.9599609375,0.69,0.7,0.695,634520.3334,75083.06839999999,1008124.8208,257756.7199,,1000,1033.450927734375,0.69,0.7,0.695,0.0,0.0,0.0,391100.5744,91610.5283,738981.0393,251608.6798,0.0,0.0,0.0,0.0,,,,
