bucket,horizon_ms,events,mean_market_shift,median_market_shift,positive_market_shift_share,structural_shift_benchmark,mean_market_minus_structural,profitable_roundtrip_events,positive_roundtrip_pnl_sum,positive_roundtrip_entry_cost_sum
H1_trailing_10_15_made_fg,250,3,0.0,0.0,0.0,0.0075,-0.0075,0,0.0,0.0
H1_trailing_10_15_made_fg,500,3,0.0,0.0,0.0,0.0075,-0.0075,0,0.0,0.0
H1_trailing_10_15_made_fg,1000,3,0.006666666666666667,0.0,0.3333333333333333,0.0075,-0.0008333333333333326,1,228.96440000000075,11893.9616
H1_trailing_10_15_made_fg,3000,3,0.01,0.0,0.3333333333333333,0.0075,0.0025000000000000005,1,1475.6179000000047,39053.020099999994
H1_trailing_10_15_made_fg,10000,3,0.016666666666666666,0.01,0.6666666666666666,0.0075,0.009166666666666667,2,1778.8789000000033,79343.2197
H1_trailing_10_15_made_fg,60000,3,0.033333333333333305,0.01,0.6666666666666666,0.0075,0.025833333333333305,2,6434.249800000007,55442.1185
H4_trailing_10_plus_made_3,250,1,0.0,0.0,0.0,0.0138,-0.0138,0,0.0,0.0
H4_trailing_10_plus_made_3,500,1,0.0,0.0,0.0,0.0138,-0.0138,0,0.0,0.0
H4_trailing_10_plus_made_3,1000,1,0.02,0.02,1.0,0.0138,0.006200000000000001,1,228.96440000000075,11893.9616
H4_trailing_10_plus_made_3,3000,1,0.03,0.03,1.0,0.0138,0.0162,1,1475.6179000000047,39053.020099999994
H4_trailing_10_plus_made_3,10000,1,0.04,0.04,1.0,0.0138,0.0262,1,1778.878899999996,41099.5471
H4_trailing_10_plus_made_3,60000,1,0.1099999999999999,0.1099999999999999,1.0,0.0138,0.0961999999999999,1,6434.249800000005,46754.32629999999
