ticker,snapshots,start,end,cadence_p50_ms,cadence_p95_ms,sequence_gap_events
KXNBAGAME-26JUN08SASNYK-NYK,446956,2026-06-09 01:11:52.280697998+00:00,2026-06-09 03:29:16.720996094+00:00,5.8291015625,78.11137695312499,0
KXNBAGAME-26JUN08SASNYK-SAS,356496,2026-06-09 01:11:52.281687012+00:00,2026-06-09 03:29:16.634739990+00:00,5.912841796875,104.30024414062495,0
